player_id,name,team,role,role_P,role_D,role_C,role_A,fvm,qta,ovr,prezzo_cons,titolarita_pct,titolarita,fragility_score,partite_saltate_tot,giorni_stop_tot,disponibilita_pct,recidive_muscolari,is_injured_initial,is_rigorista,is_oop,presenze_2526,mv_2526,fm_2526,xg90_2526,xa90_2526,rating_2526,presenze_2627,starts_2627,minuti_2627,gol_2627,assist_2627,tot_bonus_2627,tot_malus_2627,mv_2627,fm_2627,xg90_2627,xa90_2627,roi_fm_su_prezzo,target_fanta_media,target_gol,target_assist,target_minuti,target_roi_fvm
7410,Viery,Fiorentina,D,0,1,0,0,12.0,6.0,65.0,1.0,67.0,67.0,5.0,0,0,100.0,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,4,3,278,0,0,0.0,0.0,5.5,5.5,,0.01,5.5,5.5,0,0,278,5.5
6202,Beukema,Napoli,D,0,1,0,0,12.0,6.0,65.0,1.0,50.0,50.0,17.0,3,67,96.1,0,0,0,0,24,5.94,6.15,0.09,0.03,6.96,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
6631,Ghilardi,Roma,D,0,1,0,0,10.0,5.0,65.0,1.0,34.0,34.0,9.0,1,4,98.7,0,0,0,0,23,5.98,5.96,0.03,0.02,6.73,3,1,162,0,0,0.0,0.5,6.17,6.0,,0.02,6.0,6.0,0,0,162,6.0
5831,Gatti,Juventus,D,0,1,0,0,10.0,4.0,64.0,1.0,7.0,7.0,50.0,15,104,80.3,0,0,0,0,21,5.95,6.17,0.17,0.01,6.5,1,0,8,1,0,3.0,0.5,7.0,9.5,,,9.5,9.5,1,0,8,9.5
6021,Abankwah,Udinese,D,0,1,0,0,10.0,2.0,64.0,1.0,100.0,100.0,5.0,0,0,100.0,0,0,0,0,0,6.0,6.0,0.02,0.02,6.68,5,5,468,1,0,3.0,0.5,6.2,6.7,0.09,0.04,6.7,6.7,1,0,468,6.7
5742,Drameh,Genoa,D,0,1,0,0,10.0,3.0,64.0,1.0,50.0,50.0,45.0,10,50,86.8,0,0,0,1,0,6.0,6.0,0.0,0.0,6.5,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
7255,Britschgi,Parma,D,0,1,0,0,10.0,3.0,64.0,1.0,67.0,67.0,9.0,1,7,98.7,0,0,0,1,29,5.76,5.71,0.02,0.06,6.51,4,3,266,0,0,0.0,0.0,6.0,6.0,0.01,0.02,6.0,6.0,0,0,266,6.0
6047,Ehizibue,Genoa,D,0,1,0,0,10.0,4.0,64.0,1.0,47.0,47.0,37.0,3,24,96.1,0,0,0,1,32,5.86,5.97,0.0,0.0,6.5,3,2,155,0,0,0.0,0.5,5.67,5.5,0.05,0.02,5.5,5.5,0,0,155,5.5
4705,Balerdi,Roma,D,0,1,0,0,11.0,6.0,64.0,1.0,47.0,47.0,75.0,24,133,68.4,3,0,0,0,0,6.0,6.0,0.0,0.0,6.5,3,2,196,0,0,0.0,0.0,6.67,6.67,0.07,0.01,6.67,6.67,0,0,196,6.67
6632,Gaspar K.,Lecce,D,0,1,0,0,12.0,5.0,64.0,1.0,80.0,80.0,50.0,19,147,75.0,0,0,0,0,23,5.85,5.67,0.04,0.01,6.65,4,4,358,0,0,0.0,1.0,5.25,5.0,0.08,0.01,5.0,5.0,0,0,358,5.0
